COUNTRY CODE,n_checklists,n_observers,n_tourist,n_tourist_ecoregion,local,local_ecoregion,date_range_cell,date_range_ecoregion,guided,guided_ecoregion
AC,1635,79,622,,1013,,95740976.146788990826,,0.22982708933717579251,
AD,2854,626,1164,982,1690,1872,133446222.84512964,176307373.79117029,0.01803607214428857715,0.01619620546043498380
AE,132590,3494,12401,7465,120189,91008,888454638.66656611,880632889.24273659,0.00994782269468961818,0.00823373460216189419
AF,1668,140,398,371,1270,1297,33647568.345323741007,35897024.460431654676,0.00298507462686567164,0.00439560439560439560
AG,9616,1315,4589,2727,5027,5720,171349906.82196339,263106063.50183497,0.07184436274509803922,0.04984802431610942249
AI,6410,271,978,524,5432,3493,348156348.20592824,412503798.05825243,0.02321871676710386388,0.02423574772789865051
AL,6932,816,4343,2856,2589,2988,58641245.470282746682,117089386.44763860,0.06646358349487676544,0.07957631721890277023
AM,13676,655,7574,5596,6102,8080,33863796.431705176952,77153759.578824217607,0.08098518054685869338,0.10278495549813379271
AO,10920,445,7661,6467,3259,4086,48529368.791208791209,70561094.361792855112,0.15306526038233355307,0.17972116603295310520
AQ,36546,2401,24850,3718,11696,2188,46868467.969134789033,73093317.439891635625,0.15213819254265852117,0.17005144868670457623
AR,921725,16714,240250,134710,681475,716628,234438152.47801676,309314517.39262197,0.08268909099444333262,0.05898124002818993538
AS,1291,170,867,473,424,310,14528317.273431448490,10319889.655172413793,0.02925989672977624785,0.03000000000000000000
AT,117652,7526,28845,18062,88807,99590,297425078.57070003,354240244.54492911,0.02050173371767556502,0.01657671178841842969
AU,4352111,34699,814254,481870,3537857,3586789,380446072.71239176,471374970.08935868,0.03004734944054016488,0.02226800460828882145
AW,23828,1990,8467,5163,15361,14249,306234273.76196072,314817605.43993406,0.04155450874831763122,0.04203454894433781190
AZ,12339,442,5618,3356,6721,8983,185351667.39606127,239147658.64332604,0.05848993661736906483,0.06435597189695550351
BA,5279,748,2676,1916,2603,3361,89863905.133548020458,134674465.03695281,0.04081632653061224490,0.03373748023194517659
BB,17088,1484,5361,3120,11727,11953,263257023.03370787,315299130.79015458,0.07925114695870948646,0.05607118202040346706
BD,41831,757,4563,3044,37268,37020,325201734.75173914,431657826.75718850,0.03064066852367688022,0.02339437709569254578
BE,205827,6011,14405,7681,191422,192456,601786156.75494469,649100173.75697647,0.00277364571711912731,0.00197897021210633736
BF,1828,150,610,314,1218,1514,120447129.97811816,210217675.27352298,0.01490312965722801788,0.01230012300123001230
BG,98856,2310,22585,16595,76271,78309,307083045.88492353,361492871.41532496,0.04332469978808570756,0.04528346133552207305
BH,2668,260,482,291,2186,985,195058589.50524738,207132759.87460815,0.00573445081605646228,0.00293542074363992172
BI,888,85,385,247,503,641,136224875.67567568,363412508.10810811,0.01328273244781783681,0.00306278713629402757
BJ,1599,134,793,440,806,1156,88901439.399624765478,251623813.53383459,0.01611170784103114930,0.03448275862068965517
BL,656,174,340,158,316,329,167401580.48780488,336588142.91581109,0.00742574257425742574,0.01058201058201058201
BM,93100,1327,4273,955,88827,31929,1238357437.25026853,1251703176.64517699,0.00373653014245521168,0.00310819631367917198
