COUNTRY CODE,ecoregion,n_checklists,n_observers,n_tourist,n_tourist_ecoregion,local,local_ecoregion,date_range_cell,date_range_ecoregion,guided,guided_ecoregion
AC,,1635,79,622,,1013,,95740976.146788990826,,0.22982708933717579251,
AD,Pyrenees conifer and mixed forests,2854,626,1164,982,1690,1872,133446222.84512964,176307373.79117029,0.01803607214428857715,0.01619620546043498380
AE,Al Hajar montane woodlands,275,62,24,48,251,227,707027851.63636364,575964706.90909091,0.00390625000000000000,0.00427350427350427350
AE,Arabian Desert and East Sahero-Arabian xeric shrublands,31125,1232,2716,1960,28409,29165,748683367.63373494,884223507.12289157,0.00969305331179321486,0.00872523918609351839
AE,Gulf of Oman desert and semi-desert,63899,2713,6393,5351,57506,58548,910029721.35401180,883318071.33131974,0.01073463573463573464,0.00816340186353067131
AE,Persian Gulf desert and semi-desert,3174,73,115,106,3059,3068,887926403.02457467,817761218.90359168,0.00615683732987686325,0.00517464424320827943
AE,,34117,1606,3153,,30964,,977070976.22885951,,0.00913429627990770884,
AF,Afghan Mountains semi-desert,15,5,15,15,0,0,201600.000000000000,190080.000000000000,,
AF,Badghyz and Karabil semi-desert,466,13,19,17,447,449,27058032.618025751073,27970980.257510729614,0.00000000000000000000,0.00000000000000000000
AF,Baluchistan xeric woodlands,278,10,14,12,264,266,40077168.345323741007,40285398.561151079137,0.00000000000000000000,0.00000000000000000000
AF,Central Afghan Mountains xeric woodlands,423,77,109,98,314,325,60082110.638297872340,64104510.638297872340,0.00000000000000000000,0.00306748466257668712
AF,Central Persian desert basins,25,13,13,14,12,11,10471680.000000000000,7520256.000000000000,0.25000000000000000000,0.26666666666666666667
AF,East Afghan montane conifer forests,5,3,5,5,0,0,103680.000000000000,103680.000000000000,,
AF,Ghorat-Hazarajat alpine meadow,59,7,59,59,0,0,3896786.440677966102,3883606.779661016949,,
AF,Gissaro-Alai open woodlands,60,15,55,47,5,13,9400320.000000000000,32415840.000000000000,0.00000000000000000000,0.01754385964912280702
AF,Hindu Kush alpine meadow,1,1,1,1,0,0,0.00000000000000000000,0.00000000000000000000,,
AF,Karakoram-West Tibetan Plateau alpine steppe,1,1,1,1,0,0,0.00000000000000000000,0.00000000000000000000,,
AF,Pamir alpine desert and tundra,13,3,13,13,0,0,239261.538461538462,837415.384615384615,0.00000000000000000000,0.00000000000000000000
AF,Paropamisus xeric woodlands,57,18,26,22,31,35,12359747.368421052632,13680000.000000000000,0.00000000000000000000,0.00000000000000000000
AF,Registan-North Pakistan sandy desert,265,30,68,67,197,198,19592585.660377358491,20264549.433962264151,0.00000000000000000000,0.00000000000000000000
AG,Caribbean shrublands,7089,1111,3275,2118,3814,4971,179510119.67837495,278346588.57384680,0.06504893964110929853,0.04645390070921985816
AG,Leeward Islands moist forests,477,172,172,179,305,298,238859773.58490566,201061494.33962264,0.04545454545454545455,0.04322766570605187320
AG,Lesser Antillean dry forests,881,256,530,430,351,451,89923962.769580022701,174065402.04313280,0.10925925925925925926,0.08600337268128161889
AG,,1169,386,612,,557,,155683783.06244654,,0.10245901639344262295,
AI,Caribbean shrublands,3787,182,567,423,3220,3364,358336710.64166887,427009858.14628994,0.02596239928379588183,0.02297530155083285468
AI,Lesser Antillean dry forests,230,63,106,101,124,129,175729711.30434783,173658365.21739130,0.05714285714285714286,0.05369127516778523490
AI,,2393,167,305,,2088,,348618150.94024237,,0.01673640167364016736,
AL,Balkan mixed forests,36,17,29,24,7,12,28029600.000000000000,77313600.000000000000,0.00000000000000000000,0.05882352941176470588
AL,Dinaric Mountains mixed forests,431,131,372,357,59,74,21626862.180974477958,29829048.723897911833,0.04385964912280701754,0.05172413793103448276
AL,Illyrian deciduous forests,4619,671,2873,2019,1746,2600,60074916.995020567222,125144498.46287075,0.06545903664059283656,0.08272117534334078569
AL,Pindus Mountains mixed forests,758,253,480,456,278,302,82676479.155672823219,119509665.43535620,0.06582278481012658228,0.06459330143540669856
AL,,1088,315,589,,499,,51485347.058823529412,,0.07575757575757575758,
AM,Caucasus mixed forests,4057,424,1871,1284,2186,2773,36745449.346807986197,104341320.97609071,0.06427090532135452661,0.05730129390018484288
AM,Eastern Anatolian montane steppe,9619,599,5703,4312,3916,5307,32648403.368333506602,65686877.721176837509,0.08821770334928229665,0.12328196584756351520
AO,Angolan Miombo woodlands,2753,136,2064,1746,689,1007,44802213.149291681802,59051559.752996730839,0.11116751269035532995,0.21372930866601752678
AO,Angolan Mopane woodlands,129,43,57,31,72,98,102351851.16279070,174848148.83720930,0.00000000000000000000,0.03809523809523809524
AO,Angolan montane forest-grassland mosaic,1800,124,1176,1146,624,654,63362256.000000000000,68729088.000000000000,0.16691394658753709199,0.17021276595744680851
AO,Angolan scarp savanna and woodlands,2850,193,1880,1679,970,1171,37937330.526315789474,46765197.473684210526,0.17902168431669188099,0.16318601262748907237
AO,Central African mangroves,16,2,16,2,0,14,907200.000000000000,76658400.000000000000,,0.00000000000000000000
AO,Central Zambezian Miombo woodlands,46,3,46,10,0,36,108939.130434782609,269151026.08695652,,0.00000000000000000000
AO,Kaokoveld desert,541,99,451,429,90,112,22803850.646950092421,27960062.107208872458,0.08895705521472392638,0.09011627906976744186
AO,Namibian savanna woodlands,179,82,142,97,37,82,36434252.513966480447,153712840.22346369,0.07500000000000000000,0.16783216783216783217
AO,Southern Congolian forest-savanna mosaic,12,3,12,12,0,0,187200.000000000000,187200.000000000000,,
AO,Western Congolian forest-savanna mosaic,1476,101,1109,1007,367,469,52453170.731707317073,92534575.609756097561,0.21996124031007751938,0.24190647482014388489
AO,Zambezian Baikiaea woodlands,637,188,408,306,229,331,88550505.494505494505,138562948.82260597,0.18281938325991189427,0.15201465201465201465
AO,Zambezian flooded grasslands,114,5,51,2,63,112,68808505.263157894737,187871494.73684211,0.00000000000000000000,0.00000000000000000000
AO,,367,126,249,,118,,29077013.623978201635,,0.06896551724137931034,
AQ,Marielandia Antarctic tundra,4041,1352,2655,2540,1386,1501,67902360.801781737194,76957191.982182628062,0.15027755749405233941,0.17979254706108336535
AQ,Maudlandia Antarctic desert,209,81,124,117,85,92,37132570.334928229665,46252937.799043062201,0.02857142857142857143,0.01801801801801801802
AQ,Rock and Ice,20,18,18,17,2,3,11914560.000000000000,14402880.000000000000,0.50000000000000000000,0.40000000000000000000
