COUNTRY CODE,year,n_checklists,n_observers,n_tourist,n_tourist_ecoregion,local,local_ecoregion,date_range_cell,date_range_ecoregion,guided,guided_ecoregion
AC,2010,24,4,9,,15,,269150400.00000000,,0.00000000000000000000,
AC,2011,6,3,0,,6,,256276800.00000000,,0.00000000000000000000,
AC,2012,5,2,0,,5,,237755520.00000000,,0.00000000000000000000,
AC,2013,27,4,1,,26,,390166400.00000000,,0.00000000000000000000,
AC,2014,22,3,10,,12,,190441309.09090909,,0.29411764705882352941,
AC,2016,181,4,32,,149,,131241122.65193370,,0.00000000000000000000,
AC,2017,322,4,4,,318,,125276780.12422360,,0.00000000000000000000,
AC,2018,22,2,11,,11,,174614400.00000000,,0.47619047619047619048,
AC,2019,25,7,17,,8,,41492736.000000000000,,0.38461538461538461538,
AC,2020,230,9,152,,78,,32481140.869565217391,,0.55458515283842794760,
AC,2021,96,4,71,,25,,41358600.000000000000,,0.73958333333333333333,
AC,2022,109,10,81,,28,,85528866.055045871560,,0.69696969696969696970,
AC,2023,22,10,21,,1,,3860509.090909090909,,0.00000000000000000000,
AC,2024,219,21,51,,168,,94093545.205479452055,,0.11917098445595854922,
AC,2025,141,12,47,,94,,67531097.872340425532,,0.08737864077669902913,
AD,2010,26,6,10,10,16,16,234546092.30769231,463808492.30769231,0.00000000000000000000,0.00000000000000000000
AD,2011,11,9,4,3,7,8,241315200.00000000,622755490.90909091,0.00000000000000000000,0.00000000000000000000
AD,2012,16,9,5,5,11,11,422247600.00000000,708998400.00000000,0.00000000000000000000,0.00000000000000000000
AD,2013,30,18,20,20,10,10,71167680.000000000000,136702080.00000000,0.00000000000000000000,0.00000000000000000000
AD,2014,17,12,13,11,4,6,102409411.764705882353,185800658.82352941,0.20000000000000000000,0.00000000000000000000
AD,2015,16,8,13,5,3,11,55760400.000000000000,200853000.00000000,0.00000000000000000000,0.00000000000000000000
AD,2016,51,24,38,38,13,13,38605552.941176470588,38881694.117647058824,0.00000000000000000000,0.00000000000000000000
AD,2017,97,37,58,49,39,48,99246878.350515463918,113290886.59793814,0.00000000000000000000,0.00000000000000000000
AD,2018,80,35,41,34,39,46,192196800.00000000,238948920.00000000,0.00000000000000000000,0.02083333333333333333
AD,2019,189,49,162,153,27,36,38639085.714285714286,50588800.000000000000,0.02150537634408602151,0.01960784313725490196
AD,2020,124,20,26,17,98,107,174763509.67741935,184290503.22580645,0.00000000000000000000,0.00000000000000000000
AD,2021,236,48,27,13,209,223,159263755.93220339,189344135.59322034,0.00000000000000000000,0.00000000000000000000
AD,2022,371,80,129,100,242,271,122122557.41239892,179369427.49326146,0.02238805970149253731,0.02020202020202020202
AD,2023,391,100,145,117,246,274,118111672.63427110,157739441.43222506,0.05576208178438661710,0.04406779661016949153
AD,2024,592,116,248,221,344,371,140599362.16216216,185562827.02702703,0.00982800982800982801,0.00921658986175115207
AD,2025,313,78,153,131,160,182,94858090.734824281150,116891194.88817891,0.03508771929824561404,0.03765690376569037657
AE,2010,3754,79,166,106,3588,2638,1211206593.50026638,1231034977.25947522,0.00027601435274634281,0.00000000000000000000
AE,2011,3961,76,109,49,3852,2758,1207340970.46200454,1227608474.81296758,0.00128270908158029759,0.00036088054853843378
AE,2012,5422,125,314,192,5108,3756,1048208496.93839911,1049946149.54407295,0.00579374275782155272,0.00500922752438702874
AE,2013,4507,128,177,98,4330,3113,1044928137.03128467,1089324015.69604485,0.00045998160073597056,0.00128205128205128205
