COUNTRY CODE,ecoregion,n_checklists,n_observers,n_tourist,n_tourist_ecoregion,local,local_ecoregion,date_range_cell,date_range_ecoregion,guided,guided_ecoregion
AC,,1557,73,593,,964,,87647889.017341040462,,0.23652694610778443114,
AD,Pyrenees conifer and mixed forests,2681,557,1087,923,1594,1758,123004048.04177546,160274642.59604625,0.01900739176346356917,0.01714845663890249878
AE,Al Hajar montane woodlands,186,49,20,37,166,149,503130425.80645161,405702812.90322581,0.00598802395209580838,0.00666666666666666667
AE,Arabian Desert and East Sahero-Arabian xeric shrublands,20695,1139,2476,1864,18219,18831,487889594.51075139,573422972.66006282,0.01420394318422726309,0.01298365404510655907
AE,Gulf of Oman desert and semi-desert,44219,2545,5787,4893,38432,39326,560220714.53447613,566677142.54958276,0.01522230595327807084,0.01153342718134894174
AE,Persian Gulf desert and semi-desert,2077,69,111,104,1966,1973,588144767.26047183,560131200.00000000,0.00953336678374310085,0.00801201802704056084
AE,,20105,1483,2895,,17210,,629151258.77144989,,0.01551473059258429484,
AF,Afghan Mountains semi-desert,14,4,14,14,0,0,191314.285714285714,203657.142857142857,,
AF,Badghyz and Karabil semi-desert,465,12,18,16,447,449,27116221.935483870968,28031132.903225806452,0.00000000000000000000,0.00000000000000000000
AF,Baluchistan xeric woodlands,276,8,13,10,263,266,40248000.000000000000,40577321.739130434783,0.00000000000000000000,0.00000000000000000000
AF,Central Afghan Mountains xeric woodlands,348,67,90,79,258,269,63587420.689655172414,68466289.655172413793,0.00000000000000000000,0.00370370370370370370
AF,Central Persian desert basins,25,13,13,14,12,11,10471680.000000000000,7520256.000000000000,0.25000000000000000000,0.26666666666666666667
AF,East Afghan montane conifer forests,2,2,2,2,0,0,0.00000000000000000000,0.00000000000000000000,,
AF,Ghorat-Hazarajat alpine meadow,58,6,58,58,0,0,3958013.793103448276,3950565.517241379310,,
AF,Gissaro-Alai open woodlands,60,15,55,47,5,13,9400320.000000000000,32415840.000000000000,0.00000000000000000000,0.01754385964912280702
AF,Karakoram-West Tibetan Plateau alpine steppe,1,1,1,1,0,0,0.00000000000000000000,0.00000000000000000000,,
AF,Pamir alpine desert and tundra,13,3,13,13,0,0,239261.538461538462,837415.384615384615,0.00000000000000000000,0.00000000000000000000
AF,Paropamisus xeric woodlands,39,16,25,21,14,18,11703876.923076923077,13478400.000000000000,0.00000000000000000000,0.00000000000000000000
AF,Registan-North Pakistan sandy desert,207,23,46,45,161,162,22378434.782608695652,22986156.521739130435,0.00000000000000000000,0.00000000000000000000
AG,Caribbean shrublands,6594,1039,3095,1981,3499,4613,126737963.96724295,196640333.39399454,0.06369426751592356688,0.04601635291880585663
AG,Leeward Islands moist forests,444,160,159,165,285,279,143165772.97297297,110028843.24324324,0.04848484848484848485,0.04601226993865030675
AG,Lesser Antillean dry forests,817,225,496,412,321,405,45243354.712362301102,120384810.77111383,0.11045364891518737673,0.08823529411764705882
AG,,1102,365,597,,505,,85514752.813067150635,,0.11029411764705882353,
AI,Caribbean shrublands,3730,168,555,413,3175,3317,344108824.02144772,387657018.33780161,0.02633969118982742961,0.02331002331002331002
