COUNTRY CODE,n_checklists,n_observers,n_tourist,n_tourist_ecoregion,local,local_ecoregion,date_range_cell,date_range_ecoregion,guided,guided_ecoregion
AC,1557,73,593,,964,,87647889.017341040462,,0.23652694610778443114,
AD,2681,557,1087,923,1594,1758,123004048.04177546,160274642.59604625,0.01900739176346356917,0.01714845663890249878
AE,87282,3293,11289,6898,75993,60279,559491303.27902660,568107212.45664439,0.01488080109795150714,0.01186057769888655801
AF,1508,125,348,320,1160,1188,34480016.976127320955,36949406.896551724138,0.00325203252032520325,0.00477707006369426752
AG,8957,1221,4347,2558,4610,5297,115047093.44646645,183813310.65563335,0.07199341021416803954,0.04976341980747267091
AI,6336,254,962,514,5374,3441,338250627.27272727,374364274.89254109,0.02348091055744757125,0.02460850111856823266
AL,6741,780,4214,2779,2527,2896,58728390.921228304406,114947808.42290749,0.06777746399322225360,0.08059118795315114334
AM,12122,603,6126,4703,5996,7419,37397208.645438046527,77108500.379475334103,0.08883774453394706559,0.07782391142340040456
AO,9909,401,7173,6123,2736,3454,43936279.019073569482,63564977.090947060666,0.16512587114208505191,0.19563415308096159160
AQ,33878,2136,22965,3238,10913,1935,43830504.752346655647,68743250.570268702880,0.15764633231882140179,0.18235818235818235818
AR,890106,15974,226935,127624,663171,696262,234849315.69049080,309001202.93924159,0.08440903027505718735,0.06031118531232392213
AS,1196,154,835,454,361,304,7298199.331103678930,9458178.364116094987,0.03281853281853281853,0.03045685279187817259
AT,107028,7078,26906,17084,80122,89944,251063494.65186680,303980035.51967709,0.02229896966557301560,0.01788766335099098717
AU,4156810,33682,761014,448330,3395796,3440737,365714060.96501885,455766241.59820337,0.03098089990612917592,0.02296593599302186000
AW,23240,1877,8148,5013,15092,13961,307051520.96385542,315299468.99968378,0.04223262184682113914,0.04256708232682640204
AZ,10776,414,5388,3176,5388,7600,148696997.772828507795,208549980.40089087,0.06556945358788676761,0.07130472475075856090
BA,5118,710,2587,1865,2531,3252,87667993.434935521688,129693559.19484073,0.04174573055028462998,0.03473541383989145183
BB,16525,1376,5160,2987,11365,11591,253264976.16944024,296227348.82699959,0.07989317054559328501,0.05596010764603451005
BD,40050,725,4390,2960,35660,35733,327072120.80898876,429236586.66942341,0.03185083456581449398,0.02409863627872221184
BE,180792,5689,13695,7477,167097,168656,576820820.54958184,623550629.21769345,0.00309665218804479508,0.00219782809802431163
BF,1371,118,341,163,1030,1208,92122629.321663019694,138706030.63457330,0.01569713758079409049,0.01037509976057462091
BG,94116,2147,20810,15318,73306,75182,294533960.98431723,345960032.14143646,0.04466316175571585768,0.04683041049781701993
BH,2460,233,431,264,2029,932,170348839.02439024,193451839.46488294,0.00616990982439487423,0.00309597523219814241
BI,826,76,360,238,466,588,137986553.02663438,366164036.80387409,0.01428571428571428571,0.00333333333333333333
