COUNTRY CODE,year,n_checklists,n_observers,n_tourist,n_tourist_ecoregion,local,local_ecoregion,date_range_cell,date_range_ecoregion,guided,guided_ecoregion
AC,2010,1,1,0,,1,,159494400.000000000000,,0.00000000000000000000,
AC,2011,4,1,0,,4,,159494400.00000000,,0.00000000000000000000,
AC,2012,5,2,0,,5,,237755520.00000000,,0.00000000000000000000,
AC,2013,11,4,1,,10,,303366109.09090909,,0.00000000000000000000,
AC,2014,10,2,7,,3,,104846400.000000000000,,0.40000000000000000000,
AC,2016,181,4,32,,149,,131241122.65193370,,0.00000000000000000000,
AC,2017,322,4,4,,318,,125276780.12422360,,0.00000000000000000000,
AC,2018,21,2,11,,10,,166315885.71428571,,0.50000000000000000000,
AC,2019,23,5,15,,8,,45093286.956521739130,,0.38461538461538461538,
AC,2020,230,9,152,,78,,32481140.869565217391,,0.55458515283842794760,
AC,2021,96,4,71,,25,,41358600.000000000000,,0.73958333333333333333,
AC,2022,100,10,72,,28,,93195360.000000000000,,0.69696969696969696970,
AC,2023,22,10,21,,1,,3860509.090909090909,,0.00000000000000000000,
AC,2024,219,21,51,,168,,94093545.205479452055,,0.11917098445595854922,
AC,2025,141,12,47,,94,,67531097.872340425532,,0.08737864077669902913,
AD,2010,13,4,9,9,4,4,28418953.846153846154,206509292.30769231,0.00000000000000000000,0.00000000000000000000
AD,2011,5,5,2,1,3,4,328510080.00000000,676425600.00000000,0.00000000000000000000,0.00000000000000000000
AD,2012,5,4,2,2,3,3,357713280.00000000,473472000.00000000,0.00000000000000000000,0.00000000000000000000
AD,2013,23,14,13,13,10,10,92797356.521739130435,178261982.60869565,0.00000000000000000000,0.00000000000000000000
AD,2014,12,9,9,7,3,5,132098400.00000000,250236000.00000000,0.25000000000000000000,0.00000000000000000000
AD,2015,15,7,13,5,2,10,36702720.000000000000,188720640.00000000,0.00000000000000000000,0.00000000000000000000
AD,2016,48,21,35,35,13,13,41009400.000000000000,41256000.000000000000,0.00000000000000000000,0.00000000000000000000
