DEC,HEX,MoD,Alpha Tag,Description,Tag,Group,Priority
1001,3.00E+09,D,EBRCS Call 1,Calling,Interop,Interop,1
1002,3ea,D,EBRCS IO 1,Interop 1,Interop,Interop,1
1003,3eb,D,EBRCS IO 2,Interop 2,Interop,Interop,1
1004,3ec,D,EBRCS IO 3,Interop 3,Interop,Interop,1
1005,3ed,D,EBRCS IO 4,Interop 4,Interop,Interop,1
1006,3ee,D,EBRCS IO 5,Interop 5,Interop,Interop,1
1015,3f7,D,EBRCS Law 1,Law Interop 1,Interop,Interop,1
1016,3f8,D,EBRCS Law 2,Law Interop 2,Interop,Interop,1
1017,3f9,D,EBRCS Law 3,Law Interop 3,Interop,Interop,1
1010,3f2,D,EBRCS Law 4,Law Interop 4,Interop,Interop,1
1027,403,D,EBRCS Fire 1,Fire Interop 1,Interop,Interop,1
1036,40c,D,EBRCS Fire 2,Fire Interop 2,Interop,Interop,1
1039,40f,D,EBRCS EMS 1,EMS Interop 1,Interop,Interop,1
1038,40e,D,EBRCS EMS 2,EMS Interop 2,Interop,Interop,1
1032,408,D,BART,Bay Area Rapid Transit,Interop,Interop,1
1042,412,D,ECC Intercom,ALCO/CCCO ECC Intercom,Interop,Interop,1
1046,416,D,Helicopter-Grnd,Helicopter to Ground,Interop,Interop,1
3005,bbd,D,Alameda PD1,Police Dispatch,Law Dispatch,Law Dispatch,1
3006,bbe,D,Alameda PD2,Police Ch 2,Law Tac,Law Tac,1
3007,bbf,D,Alameda PD3,Police Ch 3,Law Tac,Law Tac,1
3008,bc0,D,Alameda PD4,Police SIU,Law Tac,Law Tac,1
3009,bc1,D,Alameda PD5,Police Investigations 1,Law Tac,Law Tac,1
3010,bc2,D,Alameda PD6,Police Investigations 2,Law Tac,Law Tac,1
3011,bc3,D,Alameda PD7,Police Narcotics,Law Tac,Law Tac,1
3012,bc4,D,Alameda PD8,Police SWAT,Law Tac,Law Tac,1
3013,bc5,D,Alameda PD9,Police CNT,Law Tac,Law Tac,1
3014,bc6,D,Alameda PD10,Police 911,Law Tac,Law Tac,1
4005,fa5,D,Alameda PW,Public Works,Public Works,Public Works,1
4019,fb3,D,Alameda HA,Housing Authority,Other,Other,1
5530,159a,D,ACMED1,Med 1,EMS Dispatch,EMS Dispatch,1
5531,159b,D,ACMED2,Med 2,EMS-Tac,EMS-Tac,1
5532,159c,D,ACMED3,Med 3,EMS-Tac,EMS-Tac,1
5505,1581,D,Alameda,Alameda,Hospital,Hospital,1
5506,1582,D,Alta Bates MC,Alta Bates Medical Center - Berkeley,Hospital,Hospital,1
5507,1583,D,Childrens,Childrens - Oakland,Hospital,Hospital,1
5508,1584,D,Eden MC,Eden Medical Center - Castro Valley,Hospital,Hospital,1
5509,1585,D,Highland,Highland - Oakland,Hospital,Hospital,1
5510,1586,D,Kaiser Fremont,Kaiser - Fremont,Hospital,Hospital,1
5511,1587,D,Kaiser SL,Kaiser - San Leandro,Hospital,Hospital,1
5512,1588,D,Kaiser Oakland,Kaiser - Oakland,Hospital,Hospital,1
5513,1589,D,St Rose,St Rose - Hayward,Hospital,Hospital,1
5514,158a,D,San Leandro,San Leandro Hospital,Hospital,Hospital,1
5515,158b,D,San Ramon RMC,San Ramon Regional Medical Center,Hospital,Hospital,1
5516,158c,D,Summit,Summit - Oakland,Hospital,Hospital,1
5517,158d,D,Valley Care MC,ValleyCare Medical Center - Pleasanton,Hospital,Hospital,1
5518,158e,D,Washington,Washington - Fremont,Hospital,Hospital,1
5519,158f,D,Willow Rock Cntr,Willow Rock Center,Hospital,Hospital,1
2800,af0,D,ACEMS Cmd 20,Command 20,EMS-Tac,EMS-Tac,1
2801,af1,D,ACEMS Tac 40,Tac 40,EMS-Tac,EMS-Tac,1
2802,af2,D,ACEMS Tac 60,Tac 60,EMS-Tac,EMS-Tac,1
2803,af3,D,ACEMS Tac 61,Tac 61,EMS-Tac,EMS-Tac,1
2804,af4,D,ACEMS Tac 62,Tac 62,EMS-Tac,EMS-Tac,1
2805,af5,D,ACEMS Tac 63,Tac 63,EMS-Tac,EMS-Tac,1
2806,af6,D,ACEMS Tac 64,Tac 64,EMS-Tac,EMS-Tac,1
2807,af7,D,ACEMS Tac 65,Tac 65,EMS-Tac,EMS-Tac,1
2808,af8,D,ACEMS Tac 66,Tac 66,EMS-Tac,EMS-Tac,1
2809,af9,D,ACEMS Tac 67,Tac 67,EMS-Tac,EMS-Tac,1
2810,afa,D,ACEMS Tac 68,Tac 68,EMS-Tac,EMS-Tac,1
2600,a28,D,ACFD Announce,All Call,Fire Dispatch,Fire Dispatch,1
2605,a2d,D,ACFD Dispatch 1,Dispatch 1,Fire Dispatch,Fire Dispatch,1
2606,a2e,D,ACFD Dispatch 2,Dispatch 2,Fire Dispatch,Fire Dispatch,1
2607,a2f,D,ACFD Dispatch 3,Dispatch 3,Fire Dispatch,Fire Dispatch,1
2608,a30,D,ACFD Emergency,Emergency,Emergency Ops,Emergency Ops,1
2650,a5a,D,ACFD Tone Outs,Tone Outs,Fire Dispatch,Fire Dispatch,1
2661,a65,D,ACFD Tac 3,Tac 3,Fire-Tac,Fire-Tac,1
2662,a66,D,ACFD Tac 4,Tac 4,Fire-Tac,Fire-Tac,1
2663,a67,D,ACFD Tac 5,Tac 5,Fire-Tac,Fire-Tac,1
2664,a68,D,ACFD Tac 6,Tac 6,Fire-Tac,Fire-Tac,1
2665,a69,D,ACFD Tac 7,Tac 7,Fire-Tac,Fire-Tac,1
2666,a6a,D,ACFD Tac 8,Tac 8,Fire-Tac,Fire-Tac,1
2667,a6b,D,ACFD Tac 9,Tac 9,Fire-Tac,Fire-Tac,1
2668,a6c,D,ACFD Tac 10,Tac 10,Fire-Tac,Fire-Tac,1
2669,a6d,D,ACFD Tac 11,Tac 11,Fire-Tac,Fire-Tac,1
2670,a6e,D,ACFD Command 10,Command 10 - Albany,Fire-Tac,Fire-Tac,1
2671,a6f,D,ACFD Command 11,Command 11 - Berkeley,Fire-Tac,Fire-Tac,1
2672,a70,D,ACFD Command 12,Command 12 - Berkeley,Fire-Tac,Fire-Tac,1
2673,a71,D,ACFD Command 13,Command 13 - Hayward,Fire-Tac,Fire-Tac,1
