id,name,amenity,lon,lat,fog_pct_4pm,fog_pct_12pm,fog_pct_10am
node/2724725641,The PUB@SFSU,bar,-122.4788561,37.7221622,0.61,0.73,0.81
node/4214319494,Flanahan's Pub,pub,-122.504526,37.7528613,0.6,0.73,0.83
node/13739098894,Two Pitchers Brewing Company,pub,-122.5048416,37.7528475,0.6,0.73,0.83
way/276641699,Durty Nelly's,pub,-122.4830368,37.7634848,0.59,0.7,0.81
way/287720563,The Riptide,bar,-122.5053439,37.7415771,0.58,0.75,0.78
node/718375673,After Hours SF,pub,-122.4989551,37.7421604,0.58,0.73,0.78
node/960935983,Pittsburgh's Pub,pub,-122.5071774,37.7602405,0.58,0.73,0.81
node/5876905615,Woods Outbound,bar,-122.5055935,37.7603154,0.58,0.73,0.81
node/6874561750,White Cap,bar,-122.5048589,37.7418792,0.58,0.75,0.78
node/12676663498,Woods Outbound,pub,-122.5055953,37.7603112,0.58,0.73,0.81
way/287411301,Hockey Haven,bar,-122.4977993,37.775504,0.56,0.71,0.8
way/288538918,Lost & Found,bar,-122.481746,37.742562,0.56,0.71,0.81
node/3562957694,Dragon Lounge,bar,-122.4809329,37.742708,0.56,0.71,0.81
node/3622464002,Philosophers Club,bar,-122.4654436,37.7408294,0.56,0.68,0.79
node/3868132257,Unwine'd,bar,-122.4657844,37.7406397,0.56,0.68,0.79
node/4069462418,Shannon Arms,pub,-122.4760224,37.7429041,0.56,0.71,0.83
node/4199804593,Tiki Haven,bar,-122.4781838,37.754295,0.56,0.7,0.8
node/6502703601,Boomerang,bar,-122.4791847,37.7542699,0.56,0.7,0.8
node/6744788662,Lincoln Park Bar & Grill,bar,-122.4943464,37.7823521,0.56,0.71,0.8
node/632817679,Binu Bonu,bar,-122.4685481,37.7386468,0.55,0.71,0.8
node/632825392,The Dubliner,pub,-122.4696762,37.7377005,0.55,0.71,0.8
node/3540161001,The Sherwood Cocktails and Lounge,bar,-122.4676699,37.7389501,0.55,0.71,0.8
node/3540255593,McCarthy‘s Irish Bar,bar,-122.466539,37.740405,0.55,0.71,0.8
node/3545345699,Miraloma Club,bar,-122.4536779,37.7438818,0.55,0.65,0.74
node/1211157016,Casa Barajas / Chug Pub,pub,-122.4781609,37.7652442,0.54,0.69,0.81
node/4017234499,Silver Spur,bar,-122.4785512,37.7636372,0.54,0.69,0.81
node/1618687933,Trad'r Sam,bar,-122.485657,37.7802406,0.53,0.69,0.81
node/4331553009,Ocean Ale House,bar,-122.45677,37.7241672,0.53,0.64,0.77
node/6486930284,The Blarney Stone,bar,-122.4799505,37.7801295,0.53,0.69,0.81
node/2655525665,Goemon Izakaya,bar,-122.4929563,37.7815231,0.52,0.69,0.81
node/4071080789,The Sage & Drifter,bar,-122.4726646,37.7639038,0.52,0.67,0.8
node/4199813991,oneup bar,bar,-122.4770736,37.7543453,0.52,0.68,0.78
node/7876524201,Friend's Bar,bar,-122.4479698,37.7318373,0.52,0.62,0.73
node/9416928749,The Nag's Head,pub,-122.477013,37.7806294,0.51,0.68,0.8
way/148174267,The Temple Bar,pub,-122.4670543,37.764223,0.49,0.61,0.77
way/267055246,Maggie & Mac's,pub,-122.4660662,37.7635041,0.49,0.61,0.77
node/3634308480,Yancy's Saloon,bar,-122.4658639,37.7641987,0.49,0.61,0.77
node/3658310528,Mucky Duck,bar,-122.4664518,37.7637154,0.49,0.61,0.77
node/3667700926,Foghorn Taproom,bar,-122.4637059,37.7642843,0.49,0.61,0.77
node/3667880931,Fireside Bar,bar,-122.4643912,37.7639974,0.49,0.61,0.77
node/3674255693,The Little Shamrock,pub,-122.4667058,37.7657847,0.49,0.61,0.77
node/4814206526,Richmond Republic Draught House,bar,-122.4662352,37.7830174,0.49,0.65,0.78
node/6831790664,Would You Believe? Cocktails,bar,-122.4695178,37.7809733,0.49,0.65,0.78
node/6831790677,The Hearth,bar,-122.4697821,37.780611,0.49,0.65,0.78
node/11342634169,Lost Marbles,bar,-122.4680842,37.7826521,0.49,0.65,0.78
node/13019496826,The Red Tail,bar,-122.4638179,37.7640194,0.49,0.61,0.77
node/1229920524,The Connection,bar,-122.4498831,37.7099557,0.47,0.56,0.73
node/610183472,Buckshot,pub,-122.4607762,37.7813625,0.46,0.59,0.75
node/1819811597,Scarlet Lounge,bar,-122.4638239,37.7831179,0.46,0.59,0.75
node/1819811599,The Bitter End,pub,-122.4640435,37.7828409,0.46,0.59,0.75
node/1940405912,Ireland's 32,pub,-122.4614374,37.7813471,0.46,0.59,0.75
node/4161865223,540 Club,bar,-122.4651657,37.7830596,0.46,0.59,0.75
node/4513023134,Neck of the Woods,bar,-122.4637116,37.7831255,0.46,0.59,0.75
node/5840675540,The Plough and the Stars,pub,-122.4605138,37.7832553,0.46,0.59,0.75
node/6515692972,Happy Lounge,bar,-122.4597222,37.7810461,0.46,0.59,0.75
node/6791676291,High Treason,bar,-122.4641076,37.7828417,0.46,0.59,0.75
node/6836067589,O'Keeffe's,bar,-122.462826,37.7773986,0.46,0.59,0.75
node/6839009628,Overtime,bar,-122.4638605,37.7812248,0.46,0.59,0.75
node/11050075244,Fizzees,pub,-122.4620298,37.7813147,0.46,0.59,0.75
node/61676294,The Green Heron,bar,-122.4487116,37.7696815,0.42,0.53,0.7
node/61677421,The Gold Cane,pub,-122.4480112,37.7697699,0.42,0.53,0.7
node/61678786,Aub Zam Zam,pub,-122.4493023,37.7696002,0.42,0.53,0.7
way/223616923,The Alembic,bar,-122.4511302,37.769271,0.42,0.53,0.7
way/228247742,O'Reillys Pub,pub,-122.4526159,37.7695111,0.42,0.53,0.7
way/264371921,The Mad Dog in the Fog,pub,-122.4481316,37.7701402,0.42,0.53,0.7
way/376761568,The Kezar Pub,pub,-122.4529646,37.7678819,0.42,0.53,0.7
node/2287521548,Murio's Trophy Room,bar,-122.4522109,37.7692181,0.42,0.53,0.7
node/3790822673,Finnegans Wake,pub,-122.4500311,37.7653081,0.42,0.53,0.7
node/2054109906,Pissed Off Pete's,bar,-122.4343609,37.7255163,0.4,0.51,0.73
node/3376884814,Geneva Pub,bar,-122.4364796,37.7141742,0.4,0.49,0.72
node/4284609497,Glen Park Station,bar,-122.4341305,37.7341553,0.4,0.51,0.73
node/5880291830,The Halfway Club,bar,-122.436924,37.7143665,0.4,0.49,0.72
node/2054109855,Rocks Den,bar,-122.4327193,37.7272028,0.37,0.48,0.69
node/1982439159,The Pig & Whistle,pub,-122.4491653,37.782045,0.36,0.5,0.68
node/2287535863,Bistro Gambrinus,pub,-122.446947,37.7756308,0.36,0.5,0.68
node/4550110115,Family,bar,-122.4492858,37.7820272,0.36,0.5,0.68
node/6440030071,The Laughing Monk,pub,-122.4460528,37.77574,0.36,0.5,0.68
node/13613318657,Scarlet Fox Wine Bar,bar,-122.4441734,37.7742877,0.36,0.5,0.68
node/984659529,St. Francis Yacht Club,bar,-122.446947,37.8072388,0.34,0.52,0.69
way/262397366,Liverpool Lil's,pub,-122.4470322,37.7982045,0.32,0.51,0.68
node/5796524756,Final final,bar,-122.44584,37.7985479,0.32,0.51,0.68
node/61677300,Magnolia SF,pub,-122.4451944,37.7703394,0.31,0.5,0.64
node/61678646,Mary's,pub,-122.4460642,37.7700421,0.31,0.5,0.64
node/3275185914,Sunshine Coast: Hookah Fusion Bar,bar,-122.443983,37.7704969,0.31,0.5,0.64
node/984659510,Golden Gate Yacht Club,bar,-122.4426038,37.8077247,0.3,0.48,0.65
node/3379996811,Campus - San Francisco,bar,-122.4402624,37.8002095,0.3,0.48,0.65
node/4548821898,delarosa,bar,-122.4390753,37.8003603,0.3,0.48,0.65
node/4613841150,,bar,-122.4413801,37.8002782,0.3,0.48,0.65
node/1784908622,Fly Bar & Restaurant,bar,-122.4379485,37.7767623,0.29,0.45,0.65
node/4020353440,Fool's Errand,bar,-122.4380591,37.7755565,0.29,0.45,0.65
node/4548639068,Bar 821,bar,-122.4384162,37.7771532,0.29,0.45,0.65
node/4550076307,mini bar,bar,-122.4384608,37.7773892,0.29,0.45,0.65
node/4558023340,TimeOut Tavern,bar,-122.4398627,37.7860803,0.29,0.45,0.65
node/4839249789,Madrone Art Bar,bar,-122.4374971,37.7741994,0.29,0.45,0.65
way/272647185,Marina Lounge,bar,-122.4386959,37.8007274,0.28,0.45,0.64
way/273520672,Tip Top,bar,-122.424556,37.7364012,0.28,0.43,0.67
node/2054130299,St. Mary's Pub,pub,-122.4245037,37.7354739,0.28,0.43,0.67
node/3379321525,Nectar Wine Lounge,bar,-122.437654,37.8001664,0.28,0.45,0.64
node/3577376253,The Bar on Dolores,bar,-122.4246216,37.7437445,0.28,0.43,0.67
node/3960697185,Stock in Trade,bar,-122.4356751,37.8000847,0.28,0.45,0.64
node/4010401866,The Interval,bar,-122.4321258,37.8067715,0.28,0.45,0.64
node/9341171152,California Wine Merchant,bar,-122.4382664,37.8004562,0.28,0.45,0.64
node/10303811690,The Horseshoe,bar,-122.4369311,37.8008439,0.28,0.45,0.64
node/13941683512,Canchola's Bar,bar,-122.4242302,37.7362958,0.28,0.43,0.67
way/263264445,The Brick Yard,bar,-122.4286121,37.7977877,0.26,0.45,0.64
node/3799946959,The Brixton,bar,-122.4345787,37.7973068,0.26,0.45,0.64
node/4482434591,Bus Stop,bar,-122.4307094,37.7976041,0.26,0.45,0.64
node/4615928118,Palmer's,bar,-122.4340533,37.7906111,0.26,0.45,0.64
node/4987099522,Bar None,bar,-122.4319104,37.797663,0.26,0.45,0.64
node/9254580053,Harry's Bar,bar,-122.4335814,37.7883367,0.26,0.45,0.64
node/11436034122,Left Door,bar,-122.4307445,37.7975942,0.26,0.45,0.64
node/412087372,Tonic,pub,-122.4221753,37.7986951,0.25,0.44,0.61
node/412089163,The Royal Oak,pub,-122.4221958,37.7970245,0.25,0.44,0.61
node/412103360,Shanghai Kelly's,pub,-122.4216053,37.7958344,0.25,0.44,0.61
node/412109202,Harper & Rye,pub,-122.421214,37.7922403,0.25,0.44,0.61
node/819444936,Lush Lounge,pub,-122.420349,37.7881395,0.25,0.44,0.61
node/819444949,McTeague's Saloon,pub,-122.4203937,37.788382,0.25,0.44,0.61
node/825915019,El Lopo,bar,-122.4205448,37.7890756,0.25,0.44,0.61
node/2167447455,Bullitt,bar,-122.4221642,37.7970951,0.25,0.44,0.61
node/2340019960,Cellar Door,pub,-122.435945,37.79842,0.25,0.46,0.65
node/2698395558,Hi-Lo Club,bar,-122.4206855,37.7899499,0.25,0.44,0.61
node/2750810774,Mauna Loa Cocktails,bar,-122.4356968,37.7973699,0.25,0.46,0.65
