Com_Name,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95
Carrion Crow,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,6.0,7.0,15.0,25.0,45.0,57.0,59.0,58.0,51.0,33.0,20.0,14.0,9.0,9.0,8.0,11.0,6.0,8.0,5.0,6.0,7.0,8.0,13.0,8.0,6.0,12.0,17.0,10.0,11.0,9.0,12.0,7.0,8.0,14.0,11.0,10.0,9.0,16.0,6.0,10.0,9.0,0.0,1.0,8.0,12.0,10.0,8.0,3.0,4.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Egyptian Goose,2.0,0.0,2.0,2.0,0.0,2.0,1.0,2.0,5.0,3.0,6.0,1.0,3.0,3.0,3.0,3.0,1.0,2.0,5.0,2.0,2.0,2.0,2.0,3.0,5.0,1.0,3.0,7.0,0.0,6.0,6.0,14.0,19.0,29.0,26.0,38.0,37.0,29.0,35.0,33.0,34.0,36.0,26.0,27.0,27.0,27.0,27.0,22.0,20.0,23.0,17.0,14.0,13.0,10.0,11.0,7.0,7.0,4.0,10.0,10.0,6.0,6.0,4.0,5.0,3.0,2.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,4.0,3.0,2.0,1.0,1.0
Eurasian Blackbird,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,8.0,14.0,23.0,12.0,16.0,3.0,6.0,9.0,5.0,3.0,5.0,9.0,6.0,5.0,11.0,8.0,7.0,5.0,4.0,5.0,7.0,6.0,6.0,2.0,6.0,8.0,7.0,5.0,2.0,6.0,3.0,5.0,4.0,4.0,1.0,4.0,7.0,15.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Eurasian Blue Tit,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,12.0,6.0,11.0,9.0,9.0,5.0,7.0,11.0,8.0,9.0,10.0,11.0,5.0,6.0,7.0,6.0,8.0,8.0,5.0,7.0,6.0,4.0,6.0,8.0,1.0,8.0,3.0,3.0,2.0,5.0,0.0,1.0,1.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Eurasian Coot,24.0,25.0,20.0,19.0,20.0,26.0,26.0,24.0,21.0,21.0,35.0,22.0,30.0,25.0,33.0,22.0,33.0,33.0,22.0,31.0,33.0,27.0,25.0,32.0,34.0,27.0,31.0,37.0,38.0,30.0,25.0,20.0,19.0,18.0,17.0,9.0,8.0,6.0,7.0,8.0,6.0,5.0,4.0,3.0,4.0,5.0,7.0,10.0,8.0,8.0,9.0,8.0,6.0,5.0,11.0,6.0,8.0,7.0,6.0,7.0,4.0,6.0,3.0,3.0,4.0,1.0,1.0,5.0,3.0,7.0,8.0,17.0,17.0,13.0,15.0,18.0,17.0,8.0,25.0,14.0,9.0,14.0,14.0,16.0,14.0,16.0,23.0,21.0,23.0,26.0,20.0,23.0,20.0,19.0,14.0,16.0
Eurasian Jackdaw,32.0,32.0,33.0,31.0,27.0,27.0,23.0,30.0,26.0,23.0,24.0,25.0,19.0,26.0,24.0,25.0,27.0,24.0,24.0,27.0,20.0,24.0,30.0,38.0,51.0,57.0,70.0,72.0,75.0,71.0,72.0,72.0,61.0,53.0,36.0,19.0,8.0,8.0,9.0,6.0,8.0,13.0,8.0,12.0,9.0,11.0,10.0,10.0,10.0,21.0,12.0,13.0,16.0,24.0,28.0,28.0,19.0,18.0,33.0,38.0,42.0,41.0,51.0,53.0,60.0,50.0,55.0,69.0,73.0,77.0,75.0,69.0,66.0,61.0,55.0,57.0,54.0,52.0,49.0,48.0,50.0,48.0,50.0,50.0,48.0,43.0,39.0,35.0,40.0,33.0,37.0,43.0,32.0,36.0,38.0,27.0
Eurasian Jay,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,1.0,1.0,3.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,2.0,1.0,0.0,1.0,2.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Eurasian Magpie,30.0,23.0,25.0,25.0,30.0,30.0,30.0,26.0,19.0,24.0,21.0,28.0,19.0,16.0,11.0,19.0,19.0,20.0,21.0,22.0,18.0,18.0,14.0,15.0,22.0,19.0,22.0,21.0,36.0,48.0,60.0,59.0,67.0,65.0,58.0,54.0,49.0,46.0,40.0,47.0,42.0,38.0,33.0,34.0,27.0,29.0,29.0,29.0,24.0,26.0,25.0,24.0,28.0,23.0,33.0,30.0,29.0,30.0,21.0,24.0,32.0,35.0,24.0,29.0,39.0,36.0,41.0,59.0,58.0,51.0,36.0,32.0,34.0,28.0,24.0,23.0,26.0,30.0,28.0,25.0,31.0,34.0,36.0,32.0,34.0,27.0,30.0,28.0,24.0,20.0,27.0,25.0,32.0,31.0,39.0,30.0
Eurasian Moorhen,11.0,10.0,10.0,6.0,10.0,4.0,3.0,7.0,8.0,4.0,7.0,8.0,6.0,4.0,9.0,2.0,7.0,6.0,7.0,11.0,9.0,9.0,4.0,8.0,9.0,8.0,10.0,12.0,12.0,8.0,3.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,14.0,7.0,12.0,8.0,12.0,7.0,7.0,4.0,8.0,4.0,8.0,5.0,8.0,10.0,9.0,4.0,7.0,3.0,9.0,8.0,7.0,9.0,9.0,10.0,13.0,5.0
Eurasian Wren,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,7.0,7.0,10.0,6.0,11.0,10.0,6.0,9.0,7.0,10.0,5.0,7.0,11.0,4.0,3.0,10.0,5.0,5.0,2.0,3.0,4.0,3.0,2.0,2.0,2.0,1.0,0.0,1.0,0.0,2.0,2.0,2.0,2.0,3.0,0.0,0.0,6.0,7.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
